pwsid,report_year,data_year,contaminant,unit,sample_scope,statistic_type,result_text,minimum,average,maximum,percentile_90,comparison_value,benchmark_type,benchmark_value,violation,source_page,notes
OH1801212,2025,2025,Total Chlorine,ppm,four treatment plants,range,0.88 to 1.40,0.88,,1.4,,1.2,MRDL,4,no,12,Highest plant level found was 1.2 ppm.
OH1801212,2025,2024,Lead,ppb,customer taps,90th_percentile,90th percentile 3.15; 1 of 52 samples above AL; outlier 1997.0,0,,1997,3.15,3.15,AL,15,no,18,Compliance uses the 90th percentile; the individual outlier is retained and not compared as the compliance statistic.
OH1801212,2025,2024,Copper,ppm,customer taps,90th_percentile,90th percentile 0.06; 0 of 52 samples above AL,,,,0.06,0.06,AL,1.3,no,18,
OH1801212,2025,2025,PFAS UCMR5,ppt,treatment plants,non_detect_summary,29 PFAS types and lithium; 646 tests; none detected,0,,0,,0,unregulated,,no,14,Summary spans 2024 and 2025 UCMR5 monitoring and does not provide compound-level values.
VA6059501,2025,2024,Nitrate as Nitrogen,ppm,Fairfax-operated plants,range,0.22 to 2.1,0.22,,2.1,,2.1,MCL,10,no,15,
VA6059501,2025,2024,Total Trihalomethanes,ppb,Fairfax-operated distribution area,highest_LRAA,Highest LRAA 53.2; individual range 7.2 to 81.4,7.2,,81.4,,53.2,LRAA_MCL,80,no,17,Compliance uses highest LRAA rather than the individual maximum.
VA6059501,2025,2024,Haloacetic Acids HAA5,ppb,Fairfax-operated distribution area,highest_LRAA,Highest LRAA 32.8; individual range 0 to 62.7,0,,62.7,,32.8,LRAA_MCL,60,no,17,Compliance uses highest LRAA rather than the individual maximum.
VA6059501,2025,2024,Total Chlorine,ppm,Fairfax-operated distribution area,highest_QRAA,Highest QRAA 2.9; individual range 0.5 to 4.1,0.5,,4.1,,2.9,MRDL,4,no,17,Compliance uses QRAA rather than the individual maximum.
VA6059501,2025,2023,Lead,ppb,customer taps,90th_percentile,90th percentile 1.0; 0 sites above AL; individual range 0 to 4.6,0,,4.6,1,1,AL,15,no,17,Most recent reduced-monitoring result reported in the 2025 CCR.
VA6059501,2025,2023,Copper,ppm,customer taps,90th_percentile,90th percentile 0.098; 0 sites above AL; individual range 0.007 to 0.202,0.007,,0.202,0.098,0.098,AL,1.3,no,17,Most recent reduced-monitoring result reported in the 2025 CCR.
VA6059501,2025,2024,Arsenic,ppb,Washington Aqueduct service area,range,0.4 to 0.4,0.4,,0.4,,0.4,MCL,10,no,19,
VA6059501,2025,2024,Nitrate as Nitrogen,ppm,Washington Aqueduct service area,range,0.3 to 2.0,0.3,,2,,2,MCL,10,no,19,
VA6059501,2025,2024,Total Trihalomethanes,ppb,Washington Aqueduct distribution area,highest_LRAA,Highest LRAA 53.2; individual range 7.2 to 81.4,7.2,,81.4,,53.2,LRAA_MCL,80,no,21,Compliance uses highest LRAA rather than the individual maximum.
VA6059501,2025,2024,Haloacetic Acids HAA5,ppb,Washington Aqueduct distribution area,highest_LRAA,Highest LRAA 32.8; individual range 0 to 62.7,0,,62.7,,32.8,LRAA_MCL,60,no,21,Compliance uses highest LRAA rather than the individual maximum.
VA6059501,2025,2024,Total Chlorine,ppm,Washington Aqueduct distribution area,highest_QRAA,Highest QRAA 2.9; individual range 0.5 to 4.1,0.5,,4.1,,2.9,MRDL,4,no,21,Compliance uses QRAA rather than the individual maximum.
